TFnames	activity	intensity
Control	1.05	0.884989329284368
FAM90A1	1.72796697760993	0.981548620273242
RCN1	2.31713449323941	1.26287642644881
MED22	1.04301134396823	1.61695473597622
MED11	0.808834462967394	1.14301843561333
MED20	0.934343434343434	1.13768088682604
GZMH	0.777337609256116	0.776895167644687
NFKBIB	0.923186923449974	1.28686404521163
FOXR2	0.826064662477215	1.25643172918682
DDX1	0.926297854380433	1.20540905495019
MED31	0.887800663826313	1.34626011323971
MYOD1	1.6	1.28686404521163
DCAF7	1.75619834710744	1.14088607193998
MED29	1.05451127819549	1.20540905495019
MAFB	0.642857142857143	0.864069043057315
MYCBP	1.12	1.17773742193299
MBD3L2	1.12698412698413	1.25643172918682
CREBBP	3.03743315508021	1.51972734300321
MED25	1.12037037037037	1.11612062713874
FAM9A	1.6	0.919620247046482
SGF29	1.60416666666666	1.10451428349431
KDELC2	1.53766233766234	0.912622550399869
PLAUR	1.38643067846608	0.874935452020302
ID3	1.16981132075472	1.4887764058717
EAF1	1.13799203892083	1.19229271658436
SLC16A12	1.13267587113741	1.02262527577933
GADD45G	1.06481481481481	1.0914478052544
WIPI2	1.05420918367347	1.06769136831874
LHX3	1.00811688311688	1.63577417309346
SLC35G1	1.01492537313433	1.06999476295115
DGKG	0.992571721311475	1.03529600876124
C3orf62	1.34297520661157	0.84804020762891
MED10	0.969109630526953	1.54122815348538
CEP72	0.917640353377031	0.745916085489589
ELF4	1.59309658148025	0.937789061975604
GADD45B	1.50043066322136	0.868420350207806
SERTAD2	1.24675324675325	1
MED4	0.83482290632241	1.44655508493729
CDK9	1.00058997050148	1.63274120292796
HOXB2	1.18937007874016	1.20944231734395
FERD3L	1.33540372670807	1.60088476766632
ROPN1	1.20474308300395	0.78442630578814
NEUROG1	1.0218954248366	1.13901613638018
NEUROD1	1.09677419354839	1.0402230797068
KLF7	1.7314979757085	1.60063778740032
ATMIN	0.85684485006519	1.08545010973292
SDCCAG3	1.18332801022038	0.861812337056726
ATXN7L3	0.729067392784207	0.958192721995795
GORASP1	0.879120879120879	0.677024294154074
BBX	1.17146433041302	1.34092300142049
SMPD2	1.02850539291217	1.13857586917084
MEAF6	1.11286714646956	1.30922082751877
EP300	3.02595094205475	1.21431001916805
CITED2	1.67053140096618	1.51104837503778
DDIT3	1.71020624008461	1.23986068176687
ELL2	1.08280982295831	1.37451575570051
ELL3	0.911111111111111	1.56615266274917
FOS	1.50238170847888	1.46011551515045
GATA1	1.79310344827586	1.63330750239576
GTF2E2	1.05108261509355	1.46728594756899
GTF2H3	1.08701814058957	1.54660195587893
HOXA13	1.50444409792609	1.17045125215087
HSF1	1.71366750811396	1.21404472908058
JAZF1	2.08394301116673	0.815698094952989
KLF15	1.47908232118758	1.21378974476052
KLF6	1.78187403993856	1.19989915081222
LAP2	1.66593535176247	1.09108381381127
MED21	0.985941546429893	1.22796439386675
MYOG	1.6440281030445	1.10353769906942
VP64	2.43335872048743	1.62157598820158
YAF2	1.86678708512079	0.94204037341084
ZXDC	1.06199596774194	1.3755389121973
